text_komentar,nama_akun
@um_ummah7: Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory,@um_ummah7
@etikawatianiek: smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..,@etikawatianiek
@kadospesialmu.id: Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya,@kadospesialmu.id
"@ciky_yy: Kasihan ya , Nagita punya suami kerjaannya berzinah terus",@ciky_yy
@pipin_sumarini: Koreaable banget face rafathar cakep ganteng manis banget,@pipin_sumarini
@sumiyati_yudi2: MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…,@sumiyati_yudi2
"@ulfanadz: Kok mirip siwon ya lama2, apa perasaan gw aja.",@ulfanadz
@inaciac7: Lucunya berasa kayak kaka dan adek,@inaciac7
@medianatambunan: Itu wajah nagita kya masih umur 20an,@medianatambunan
"@anita_sari1892: Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu",@anita_sari1892
"@riostryn: Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.",@riostryn
@mraldiani: Nagita masa kaya anak muda coba cantikk bangeett,@mraldiani
"@aprillia_raffa: Masyaallah mamany cantik anakny ganteng, perfect",@aprillia_raffa
@azizah_rahman10: Kaya adek kakak.. kak gigi keliatan muda banget,@azizah_rahman10
@andra_jnsyah_14: Tambah gede aja rafathar ya tambah pinter ya Rafathar,@andra_jnsyah_14
@dewitatarias: Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda,@dewitatarias
"@ikakadamayanti: OOTD mama gigi simple tapi elegan dilihat nya, masyaallah",@ikakadamayanti
"@rainbowkidshop_: Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga",@rainbowkidshop_
@amaliapuspitasari20: mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.,@amaliapuspitasari20
@nurainiikazulianaa: Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep,@nurainiikazulianaa
@limcu_n: i see beauty in everything mba gigi sehat selalu sama dede bayi nya,@limcu_n
@ens_gege: Mama gigi cantik banget… look younger than her age.. love mama gigi,@ens_gege
@deni_riski: Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas,@deni_riski
@desysr: Pakaian apapun yg dipake mama gigi selalu keceee,@desysr
@balizoo: Terima kasih kak Nagita sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga,@balizoo
@titiwinarni91: Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..,@titiwinarni91
@ratna_wahyuningrum28: Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..,@ratna_wahyuningrum28
@dedehfp: Mama gigi gapernah ga cantik sih kalo menurut aku.,@dedehfp
@muhammadmarselnur: Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.,@muhammadmarselnur
@novaaa_nmc: Cantik banget semoga sehat selalu kakak panutan,@novaaa_nmc
@silvahumairasadeli: MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa,@silvahumairasadeli
@dwiwarochmah: Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya,@dwiwarochmah
"@malikah_06: makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya",@malikah_06
@dwihadianti: Gapaham lagi cakeup nya natural Masyaallah,@dwihadianti
@kroniktron: Raisa mah tipe cantik tapi sopan santun pakaiannya,@kroniktron
"@rifdaahdr: ka yayaaa, why are you always stunning pretty girl.",@rifdaahdr
"@donnnaaaa____: Ya Allah ni orang apa peri, cantik amatt",@donnnaaaa____
@novidianprismaw: Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik,@novidianprismaw
@audreyjizlia: BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH,@audreyjizlia
@aqidahhasrida: Cantik bajunya keren warnanya bikin pangling,@aqidahhasrida
@tracytrinita: Sudah dongggg dan sudah di liked juga.. congratulations,@tracytrinita
@hestipurwadinata: Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk,@hestipurwadinata
@rzl_40: Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….,@rzl_40
@anazd_k: udah dong. Lagi ngunyah aja cute banget,@anazd_k
@xmxexgxaxr: Penyihir secantik ini gue rela dikutuk jadi tokek laut,@xmxexgxaxr
@biannasution: Ya ampun kak makan apa sih kok bisa cantik banget,@biannasution
"@dhinie_jm: Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha",@dhinie_jm
@ikaa6696: Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu,@ikaa6696
"@atharidho_: lu lebih gak sopan, mukak lu kayak babi!",@atharidho_
@ariessw: ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in,@ariessw
"@otiv_real: Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran",@otiv_real
"@fahrirasihan: Bukan keliatan ragu, tapi keliatan cantik",@fahrirasihan
"@sessy_abramsz: Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald",@sessy_abramsz
@shintashanditya: Raisa pake baju merah sumpahh cantik bgttt,@shintashanditya
"@ocnalita: Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget",@ocnalita
"@nissaginting: Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya",@nissaginting
@ayyuintn: Ka yaya kalo ragu tetep secantik itu yah :),@ayyuintn
"@arsheilaa22: Ragu aja cantik kan kak, apalagi kalau serius",@arsheilaa22
@uswaaahs: Ngga alay. Ngga muluk muluk. Natural. Sukaaaa,@uswaaahs
"@yolasinamo: seru bgt gemoy, tim berkebun plus tim alam bgt niiii",@yolasinamo
@denisyundaa: nikmatnya bisa menghirup oksigen dengan bebas ya :),@denisyundaa
@dessysintia_: Slide kedua mukanya mau gaya apa aja tetep cantikk,@dessysintia_
@rahmatikarsyita: mba isyana foto gelap2an gini aja aesthetic bgt ya,@rahmatikarsyita
"@no_chuuuuu: mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa",@no_chuuuuu
@dinaeka33: Ga Taulah aku juga suka banget sama gayanya isyan,@dinaeka33
"@raskadipsy: Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu",@raskadipsy
"@astri.yanti22491: Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…",@astri.yanti22491
"@hasana_usna: Congrats kak, kamu memang pantes mendapatkannya",@hasana_usna
@kazuyaisaam: Saya berharap kakak panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana,@kazuyaisaam
"@adepraagoy: Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif",@adepraagoy
"@grapepush0a: Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan",@grapepush0a
@mahrani29: Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren,@mahrani29
@bekkkyyyyy: yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt,@bekkkyyyyy
@isyanaku: Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku,@isyanaku
@eitralala: makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa,@eitralala
"@isyanation.batam: Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!",@isyanation.batam
"@yolasinamo: hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka",@yolasinamo
@nikiwonoto: senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…,@nikiwonoto
@embunwibisono: Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna,@embunwibisono
@wardah_eka: congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin,@wardah_eka
"@nurul.hikmah396: Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan",@nurul.hikmah396
@syrobby_: CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss,@syrobby_
@erminah20: ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA,@erminah20
"@sun.molorteam: Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat",@sun.molorteam
"@muyasashop: Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya",@muyasashop
@amalia.oktafina: definisi minat ketemu bakat ketemu kerja keras,@amalia.oktafina
@arfrakim: astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini,@arfrakim
"@nikedamyan: MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah",@nikedamyan
"@mentariprajna: Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis",@mentariprajna
"@a.nadityaaa_: Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett",@a.nadityaaa_
@ana.dani: Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata,@ana.dani
"@_sigesrek: aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan",@_sigesrek
@safronlux.id: AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget,@safronlux.id
@rikzikmuktyana: paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri,@rikzikmuktyana
"@antoniusbennys: Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini",@antoniusbennys
@dikha.wirasathya: Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah,@dikha.wirasathya
@jaewoyy: itu yang nyanyi kedua siapa? suaranya bagus,@jaewoyy
@bobabsundae: Maul suaranya manly banget woyy,@bobabsundae
@Te: gak nyangka suara Arief bagus juga,@Te
@Mycheckout: Hafiz dan Arief keren juga suaranya,@Mycheckout
@Hallosyii: Arief buset bagus banget suaranya,@Hallosyii
@sa: part Arief bagus banget pliss candu banget,@sa
@kyy: arief suara tinggi bagus banget,@kyy
@dellaqifa: high notenya hafiz enak juga ya,@dellaqifa
@inisials: max bagus suaranya,@inisials
@kennie: kak kamu cantik banget make up kayak gini,@kennie
@ipannurdiana: cantik banget cewek anime,@ipannurdiana
@yappingmez: cantik banget roche,@yappingmez
@weiwei: hairstyle nya bagus gini kak louis,@weiwei
@foonie: kak louise cakep amat,@foonie
@syallasaa: louis sadar gak si kamu kayak barbie hidup,@syallasaa
@mells: kayak barbie cantik banget louis,@mells
@putrisyarief: kak louis tambah gemoy,@putrisyarief
@mrgreentea: makeup nya cantik,@mrgreentea
@syaaa: pesona kakak kakak batak,@syaaa
@zeeiii: kak kamu disini cakep banget,@zeeiii
@notfound: wujud asli 3b brain beauty behavior,@notfound
@anomali: rambut kayak gini makin cantik kak,@anomali
@aldric: cantik cantik sekali,@aldric
@lala: cocok sekali make up dan hair do nya,@lala
@cetar: bismillah pinternya nular,@cetar
@ejaasuw: kayak boneka cantik,@ejaasuw
@migi: KALIAN BERDUA CANTIK BANGET,@migi
@nuraa: GEMASSSS AND SLAYYY,@nuraa
@ellas: lebih cantik kayak gini kak,@ellas
@anggaputra: cantik banget masyallah,@anggaputra
@rezhasilvia: Galang sama Steven bagus suaranya,@rezhasilvia
@nis: zaidan kenapa auranya tambah ganteng kalo nyanyi,@nis
@thrsyh: salfok zaidan ganteng banget,@thrsyh
@nai: omg ayah nic bagus sekali,@nai
"@aulia: terharu beneran, andreas kamu keren banget",@aulia
@im_people: andreas kamu hebat banget,@im_people
@watermelon: bangga banget terharu sama semua pemain,@watermelon
@finasurfy: aku sampe nangis tau dengerin cerita dia ya allah,@finasurfy
"@bun_cha: suka banget sama riza, sukses selalu menyertai kamu riza",@bun_cha
@arinbyarinie: champions talk yang bikin aku nangis sesegukan,@arinbyarinie
"@nmwn: riza keren banget, orang tuanya juga hebat",@nmwn
@putrilaras: keren mas riza,@putrilaras
@fiva: dia keren banget,@fiva
@ubururbur: public speakingnya juga bagus,@ubururbur
@april: gak heran sih kalo rafael suka anaknya ceria dan positif vibes banget,@april
@swtspcy: anak tari banget nih nerya luwes sekali narinya,@swtspcy
"@cindot: cantik, manis, pintar semuanya diborong nerya",@cindot
@F: Nerya ini positif vibes banget,@F
@nan: sumpah dia tuh cantiknya dari senyumnya dia jadi bawaannya adem banget,@nan
@ridafitriani: dia aktraktif banget lucu cantiknya effortless,@ridafitriani
@jessicasitorus: manis banget dia itu,@jessicasitorus
@alyarah_: dia tuh murah senyum banget,@alyarah_
@tania: emang cewek ini tuh bikin terpesona semua orang,@tania
@vivii: candu banget liat nerya pas perfom ini,@vivii
@balbinaazkia: vibenya kembang desa banget,@balbinaazkia
@nop: energi dia kayak gak abis abis ya aura positive nya kuat banget,@nop
@divasavira: lucu,@divasavira
@Rayan:  davina karamoy cakep banget sumpah,@Rayan
@esterr: dia tuh cantiknya cantik pake banget woii,@esterr
"@khaiii: semua di borong nerya ini, cantik pintar manis jago nari waduh parah",@khaiii
"@anggayuri: dia cocok main film gak sih, ekspresif banget dan entertain banget",@anggayuri
"@fael: ner, cantik banget",@fael
@syaa: nerya lucu banget,@syaa
@iamkii: SAT CAKEP BANGET LU SAT,@iamkii
@pickyeater: tuhkan dia cakepan gak pake cardigan,@pickyeater
@popicecreamcheese: bisa ga jangan ganteng terus,@popicecreamcheese
@berymilkyyy: GANTENG BANGET SATYA,@berymilkyyy
@an: ganteng banget ya allah,@an
@ohmy_dumppie: cakep banget yaallah gak kuat,@ohmy_dumppie
@dhirestore: ALLAHUAKBAR CAKEP BANGET GILA,@dhirestore
@e: ANJIR CAKEP BANGET INI ORANG PLIS,@e
@siid: masyaallah anak baik,@siid
@ifa: ini apa ya kok ganteng,@ifa
@Arsella: aku sebagai warga bengkuli bangga banget punya kak pita,@Arsella
"@awwy: ikut bangga liat kak pita, sehat terus kak pita",@awwy
"@jihan: KAK AKU DARI BENGKULU JUGAA, SELAMAT YAA",@jihan
"@ayangmu: pita, aku sering lihat videomu sukses selalu ya",@ayangmu
"@virgo: selamat kak pita kamu berhak dapat ini semua, semoga sukses selalu",@virgo
@jsheyy: kamu keren banget kakkk,@jsheyy
"@cacaa: kak kamu hebat, aku juga sampe terharu liat kamu",@cacaa
@nanana: kak pita cantik banget,@nanana
@kyn: nah sdm rendahnya nonggol,@kyn
@ville: sini gue jarah rumah lu anjing,@ville
@14%: ya kalo maling maling aja bos,@14%
@chaos: tolol pp aja garuda tapi otak tolol,@chaos
@athifaaa: TOLOLL,@athifaaa
@halooo: BEGOO DEH,@halooo
@sayatidaktahu: SDM Tolol,@sayatidaktahu
@peja: otaknya di dengkul,@peja
@kemiskinan: orang dongo,@kemiskinan
@dewirahayu: begini lah komen otak pencuri,@dewirahayu
@dobleh: otak kontol,@dobleh
@blackdragon: dasar otak maling,@blackdragon
@riri: ntar dibilang tolol gak terima,@riri
@mbpss: tolol amat sih,@mbpss
@rizkymaula: anak goblok susah orang kayak gini gampang dihasut sama di provokasi,@rizkymaula
@dakian: tolol goblok mental maling,@dakian
@user7818282829: otak dipake anjing,@user7818282829
@bochiloyen: TOLOL BANGET ANJING,@bochiloyen
@gsklamiam: ada aja yang mikir begini idiot bener,@gsklamiam
"@sewupeksi: ngerusak, maling kok demen, bukannya merakyat malah merusak",@sewupeksi
@callmeija: males ah gak punya otak,@callmeija
@mika: tipe orang menolak fakta banget dasar SDM rendah,@mika
@alyea: goblok yang dijarah aja toko masyarakat juga,@alyea
@ahmadfirdaus: dasar malingg,@ahmadfirdaus
@siapayaa: dasar dongo banget anjir,@siapayaa
@sagii: sdm rendah bermunculan,@sagii
@niggy: nama Muhammad tapi kelakuan dongo banget,@niggy
@slavinabianca:harapan masyarakat dengan penetapan nusantara sebagai nama ibu kota baru dan pengesahan uu ikn akan membawa kemajuaâ€¦,@slavinabianca
@voaindonesia:secara mengejutkan mengurungkan niatnya untuk berinvestasi dalam proyek pembangunan ibu kota nusantaraâ€¦,@voaindonesia
@riaunewsmedia:softbank mundur jokowi buka opsi pembangunan ikn dari dana urunanÂ masyarakat,@riaunewsmedia
@mochamadsoeharto:sebaiknya sih sebagai menteri investasi cobalah puter otak agar banyak yang mau inves demi ikn janganâ€¦,@mochamadsoeharto
@nikki:didu ya sibuk dibgn iknbukannya industrialisasi byk perusahaan lokal tutup garmen tutup krna kebijakkanâ€¦,@nikki
@kantahkabsigi:atrbpn pembangunan ibu kota negara ikn nusantara telah dimulai aturan teknis pun dikeluarkaâ€¦,@kantahkabsigi
@4b3_y:mengapa ikn tetap jalan sekalipun di tengahÂ² eforia pesimisme para ahli dan minim pendanaan dan ditinggalkan calonâ€¦,@4b3_y
@apriyanooscar:dirs jadi klopun alasannya untuk penyelesaian ikn tahap pertama pemilu pun saya rasa ngga perlu diundur,@apriyanooscar
@#keongsawah:id apa urun dana buat ikn ðŸ™„,@#keongsawah
@apriyanooscar:dirs sementara untuk tahap pembangunan adalah sampai jadi klo pun untuk menyelesaikan tahap saya raâ€¦,@apriyanooscar
@ðŸŒ·syazwanaðŸŒ·:sebenarnya ikn itu untuk siapa untuk kepentingan rakyat atau untuk kepentingan para oligarki klo untuk kepentinganâ€¦,@ðŸŒ·syazwanaðŸŒ·
@dendjaka:gpp lah itungÂ² nyumbang buat ikn,@dendjaka
@nuha:congor gede akhire ikn ngemis ngemis sumbangan ke rakyat gw sih ogah lu aja dan cebong yg urunan buat ikn,@nuha
@kangtaniðŸ¥ºðŸ¥º:didu ambil ajah harta pejabat di rezim yakin bnyak sisanya untuk bangun ikn ðŸ˜„ðŸ˜„ dan setelah dâ€¦,@kangtaniðŸ¥ºðŸ¥º
@majelisnasionalkahmi:terbentuknya ikn akan berpengaruh pada meningkatnya laporan pengaduan masyarakat yang akan menjadi konsekuensi ombâ€¦,@majelisnasionalkahmi
@apriyanooscar:dirs lah mau ditunda sampai kapan gus klo alasannya ikn should be completed and not cancelled by the next presiâ€¦,@apriyanooscar
@trie'ms:khusus untuk para cebi silahkan kalian donasi untuk ikn gw mah gak sudi,@@trie'ms
@sut4ns4tryahery4d1:enak saja ujug minta dana ke rakyat emang ikn tuh buat masyarakat ada faedahnya apa yag,@sut4ns4tryahery4d1
@julieprabavany:wajib patungan bagi yang mendukung pemindahan dan pembangunan ikn saja yaaa silahkan berlomba nyumâ€¦,@julieprabavany
@warsitodihardjo:mungkin kah ikn juga akan bernasib sama,@warsitodihardjo
@ann:butuh uang pemerintah ajak rakyat patungan ikn wkwkwkkk ðŸ˜¶,@ann
@opticmacca:silalahi balik dia yg nelepon minta bantuan buat ikn dikarangnya itu sdh bakatnya pargabusi,@@opticmacca
@ddp:awalnya bilang ikn tidak akan menggunakan dana apbn ditengah tengah akhirnya apbn akan di pakai bwt bangun iknâ€¦,@ddp
@rakaiksatria:ikn gak bakal kelar bahkan bisa jd proyeknya bakal mangkrak maka gak usah maksa buang wktâ€¦,@rakaiksatria
@seputartangsel:status lahan dan asn daerah di ikn nusantara dipersoalkan pemkab penajam paser utara,@seputartangsel
@dioaditya:wkwkwkwkwk bahasannya ikn lagi duhhhhhh,@dioaditya
@#keongsawah:tim kan telah menelusuri kawasan ikn nusantara di kalimantan timur secara langsung terâ€¦,@#keongsawah
@kensudarmanðŸ‡²ðŸ‡¨ðŸ‡§ðŸ‡­:ngul bisikin jangan ngutang ke kadroen buat bangun ikn cebong bakalan tamat kalo g jadi periode ðŸ¤ª,@kensudarmanðŸ‡²ðŸ‡¨ðŸ‡§ðŸ‡­
@â„“ÂµÏÎ±É³Î±É±Î±:booong klo loe pindah ikn siap nangis darah ya,@â„“ÂµÏÎ±É³Î±É±Î±
@hasan0907:ini yg maksa cukong yg punya lahan di ikn,@hasan0907
@rawayanØ±Ø§ÙˆÙŠÙ†:sayang banget kalo sampe mangkrak kenapa gak minta sumbangan aja sama rakyat â‰ï¸ pembangunan ikn juga rencananya mâ€¦,@rawayanØ±Ø§ÙˆÙŠÙ†
@jurixhamasyndicate:info yg mau bikin tshirt komunitas inbox ya,@jurixhamasyndicate
@naru:freeport danain ikn dulu lah baru g undang ukraine,@naru
@ir.cloudðŸ‡®ðŸ‡©ðŸ’ª:partai penghasil koruptor dan mangkraknya hambalang nggak usah keminter soal ikn selesaikan dulu hambalang sono,@ir.cloudðŸ‡®ðŸ‡©ðŸ’ª
@khaizaran:khawatir nya ikn juga begini,@khaizaran
@ðŸ‡²ðŸ‡¨ðŸ”†5ï¸âƒ£2ï¸âƒ£ðŸ”†ðŸ‡µðŸ‡¸:otorita ikn berencana menjaring dana patungan dari masyarakat sbg alternatif pendanaan nusantara selain skema urunâ€¦,@ðŸ‡²ðŸ‡¨ðŸ”†5ï¸âƒ£2ï¸âƒ£ðŸ”†ðŸ‡µðŸ‡¸
@rangpanggaleh:hidup ikn hidup jokowi periode harga mati,@rangpanggaleh
@lanjar:memantau ikn,@lanjar
@epyiwang:mengapa softbank mundur dari investasi ikn nusantara apa dampaknya apabila pendanaan proyek ikn mengambil dari apbâ€¦,@epyiwang
@as'adhimahfud:ganesha sudah ada kapling tanah di ikn kah bro ketum semangat ya,@as'adhimahfud
@ibas99:ingat saya dulu kalau tidak salah zaman pak sby ada demo koin untuk presiden sekarang bisa juga tuh koin buat ikn ðŸ˜ðŸ˜,@ibas99
@muslimahnewscom:muslimahnews â€“ mengapa softbank mundur dari investasi ikn nusantara apa dampaknya apabila pendanaan proyek ikn menâ€¦,@muslimahnewscom
@bangkitlah:idha masih tdr ditenda ikn,@bangkitlah
@babangganteng:banyak dampak positif bagi pertumbuhan di kaltim ikn menjadi pemersatu bangsa,@babangganteng
@ginovaneli:ternyata kotak amal yg disita dari tersangka teroris buat kotak ikn ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚,@ginovaneli
@onom:ms kaban tandatanda kegagalan ikn di depan mata covid jumat maret ada â€¦,@onom
@cnnindonesia:tim telah menelusuri kawasan ikn nusantara di kalimantan timur secara langsung baca ragam kisah di bâ€¦,@cnnindonesia
@darmaajibarata:malu dong ma donasi daerah bencana masa ngebangun ikn model gini hadeuh,@darmaajibarata
@furqanjurdi:dia yang punya ambisi kok masyarakat yg diperas,@furqanjurdi
@muhamadyusranlessy:disaat rakyat sedang susah dengan kenaikan bahan pokok malah pemerintah ugalugalan membangun ikn yg sidah jls tidaâ€¦,@muhamadyusranlessy
@Ø¥Ø¯ÙŠÙ…Ø®Ù„Øµ:kasian secara ga langsung wargaikn telah ikut nyumbang urunan utk iknðŸ˜ terus mandau terbangnya manaðŸ˜†ðŸ˜…ðŸ˜‚,@Ø¥Ø¯ÙŠÙ…Ø®Ù„Øµ
@rempong:yg dukung ikn silahkan nyumbang yg tdk setuju dan dikadrunin nonton aja dh,@rempong
@anak_pinggirkali:banyak cara untuk rampok duit negara pake aja kekuasaan kalo ga mampu bangun ikn dibatalkan ajaâ€¦,@anak_pinggirkali
@enkyalvenherm:dirs legasi yg tidak diprogram di masa kampanye pak jokowi kebingungan mau program apa yg mau dijadikan monâ€¦,@enkyalvenherm
@kardunsuradun:apakah ikn juga bakalan samamagrak juga,@kardunsuradun
@á´á´€êœ±á´›á´‡Ê€:masih mending mikirin rakyat lah ini bangun ikn aja harus patungan dari rakyat kan tolol kalo emaâ€¦,@á´á´€êœ±á´›á´‡Ê€
@aniesf:kalau ibu kota negara yg baru itu diprediksi selesai tahun kedepan usia kalian berapa pada saat itu pastâ€¦,@aniesf
@ï½‹ï½ï½Žï½“ï½…ï½•ï½Œï½‰ï½’:ikn itu mimpimu dan kronikronimu bukan mimpi rakyat indonesia kalau dikadalin kronikronimu itu deritamu gak uâ€¦,@ï½‹ï½ï½Žï½“ï½…ï½•ï½Œï½‰ï½’
@boboho_:ri kasus biasa ini ngak ada unsur penghinaan iyâ€¦,@boboho_
@pejuangislam:keplek sok mau bangun ikn hutang aja numpukðŸ¤­ koruptor hidup makmur rakyat diminta saweran masih banggaâ€¦,@pejuangislam
@tribunnews.com:belajar dari pandemi covid kepala bin sebut ikn didesain jadi kota tangguh bencana dan wabah,@tribunnews.com
@gemblung:harga harga naik mikirin untk ikn mending gw mikir untk keluarga sendiri atau sedekahin ke anakâ€¦,@gemblung
@yadhibukanya:kayanya ga mungkin banget ada orang kammi bisa bisanya ikutan dukung pemindahan ikn,@yadhibukanya
@kenzobaruki:hahaha ngenesÂ² adanya ikn bukannya utk meratakan kemakmuran lha iki blom apaÂ² malahan menambah kâ€¦,@kenzobaruki
@dadangblower:kok abis dikasih jabatan pada ngelawan bossnya ya g tau dia hampir tanah ikn milik keluarga bâ€¦,@dadangblower
@mÏ…ÊÎ±Ô‹Î¹Ôƒ_ÔƒÎ¹É Î¹ÆšÎ±Ê…:boroÂ² mikirin patungan biaya ikn buat makan sehariÂ² aja susah,@mÏ…ÊÎ±Ô‹Î¹Ôƒ_ÔƒÎ¹É Î¹ÆšÎ±Ê…
@whyareyoushy?:gagal priode ngambek ikn galaku ngambekkkk,@whyareyoushy?
@georgemawarbiru:pikirkan bagaimana mensukseskan pemilu aja dulu baru ikn,@georgemawarbiru
@ðŸ’žðŸŒ¹ðŸŒ¸puspaviviðŸŒ¸ðŸŒ¹ðŸ’ž:suruh pindah ke ikn,@ðŸ’žðŸŒ¹ðŸŒ¸puspaviviðŸŒ¸ðŸŒ¹ðŸ’ž
@ikninfo:tujuan ikn sangat baik dan tidak mungkin menyengsarakan masayarakat namun untuk pemerataan pembangunan,@ikninfo
@onom:akademisi ini alasan investor ikn mundur covid jumat maret ada menâ€¦,@onom
@akansampaiwaktunya:sampai tenda ikn juga import pak katanya gituuuuðŸ™„ðŸ™„ðŸ™„,@akansampaiwaktunya
@abdullahamsyar:belum jadi ikn sajadisana tingkat kemakmuran rakyatnya sudah tinggi ini baru rencana biaya hâ€¦,@abdullahamsyar
@satriatidakdipingit:beuhpemerasandia yg ngebetdia yg nyusahin rakyatgitulah klo org goblok gila pengakuanbiar di buaâ€¦,@satriatidakdipingit
@orangkampungbaulisung:pembangunan ikn duitnya dari luar pak ya,@orangkampungbaulisung
@n!Ï€!Å„Ã¹Å•'Ã¢!Ï€!:ikn itu nggak perlu dibangun masyarakat saweran kendi sudah cukup khan iklenik kendi nusantara,@n!Ï€!Å„Ã¹Å•'Ã¢!Ï€!
@nofrise:tapi sampean dukung ikn kaanayoo,@nofrise
@noir...dâ‚¬v!lðŸ–¤ðŸŽ¬:oftune gak bs jinnya kan ada daerah kekuasaan sndri makanya klo ritual kejawen kok di bawa ke kaâ€¦,@noir...dâ‚¬v!lðŸ–¤ðŸŽ¬
@lukmansimandjuntak:asn yang dipaksa pindah ke ikn siap saja sejak dulu biaya sehari di kaltim cukup tinggi ðŸ˜´,@lukmansimandjuntak
